Country Name,Life Expectancy,GDP per capita,Population
Austria,81.64,47381,8797566
Belgium,81.44,43507,11375158
Switzerland,83.6,80333,8451840
Germany,80.99,44681,82657002
Denmark,81,57219,5764980
Spain,83.33,28208,46593236
France,82.52,38679,66865144
Faroe Islands,82.4,55823,48331
United Kingdom,81.16,39932,66058859
Gibraltar,79.7,61700,33728
Greenland,72.9,48296,56171
Isle of Man,81.4,79156,83598
Ireland,81.96,69650,4807388
Iceland,82.2,71315,343400
Italy,83.24,32155,60536709
Liechtenstein,82.26,165028,37800
Luxembourg,82.69,104499,596336
St. Martin (French part),79.72,19300,36560
Monaco,89.4,166726,38392
Netherlands,81.56,48555,17131296
Portugal,81.12,21291,10300300
Sint Maarten (Dutch part),78.3,66800,40574