country,"Access to electricity, rural (% of rural population)_IMPUTEDMEAN","Access to electricity, urban (% of urban population)_IMPUTEDMEAN","Adolescent fertility rate (births per 1,000 women ages 15-19)_IMPUTEDMEAN",Age dependency ratio (% of working-age population)_IMPUTEDMEAN,"Age dependency ratio, old (% of working-age population)_IMPUTEDMEAN","Age dependency ratio, young (% of working-age population)_IMPUTEDMEAN","Agriculture, forestry, and fishing, value added (% of GDP)_IMPUTEDMEAN",Armed forces personnel (% of total labor force)_IMPUTEDMEAN,"Birth rate, crude (per 1,000 people)_IMPUTEDMEAN",Births attended by skilled health staff (% of total)_IMPUTEDMEAN,"Death rate, crude (per 1,000 people)_IMPUTEDMEAN","Educational attainment, Doctoral or equivalent, population 25+, total (%) (cumulative)_IMPUTEDMEAN","Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative)_IMPUTEDMEAN","Educational attainment, at least Master's or equivalent, population 25+, total (%) (cumulative)_IMPUTEDMEAN","Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)_IMPUTEDMEAN","Educational attainment, at least completed post-secondary, population 25+, total (%) (cumulative)_IMPUTEDMEAN","Educational attainment, at least completed primary, population 25+ years, total (%) (cumulative)_IMPUTEDMEAN","Educational attainment, at least completed short-cycle tertiary, population 25+, total (%) (cumulative)_IMPUTEDMEAN","Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)_IMPUTEDMEAN",Employment in agriculture (% of total employment) (modeled ILO estimate)_IMPUTEDMEAN,Employment in industry (% of total employment) (modeled ILO estimate)_IMPUTEDMEAN,Employment in services (% of total employment) (modeled ILO estimate)_IMPUTEDMEAN,"Fertility rate, total (births per woman)_IMPUTEDMEAN",GDP (current US$)_IMPUTEDMEAN,GDP growth (annual %)_IMPUTEDMEAN,GINI index (World Bank estimate)_IMPUTEDMEAN,"Government expenditure on education, total (% of government expenditure)_IMPUTEDMEAN",Income share held by fourth 20%_IMPUTEDMEAN,Income share held by highest 20%_IMPUTEDMEAN,Income share held by lowest 20%_IMPUTEDMEAN,Income share held by second 20%_IMPUTEDMEAN,Income share held by third 20%_IMPUTEDMEAN,"Industry (including construction), value added (% of GDP)_IMPUTEDMEAN","Life expectancy at birth, total (years)_IMPUTEDMEAN","Literacy rate, adult total (% of people ages 15 and above)_IMPUTEDMEAN","Literacy rate, youth total (% of people ages 15-24)_IMPUTEDMEAN",Merchandise trade (% of GDP)_IMPUTEDMEAN,Military expenditure (% of GDP)_IMPUTEDMEAN,Mobile cellular subscriptions (per 100 people)_IMPUTEDMEAN,Population ages 0-14 (% of total population)_IMPUTEDMEAN,Population ages 15-64 (% of total population)_IMPUTEDMEAN,Population ages 65 and above (% of total population)_IMPUTEDMEAN,Population density (people per sq. km of land area)_IMPUTEDMEAN,Population growth (annual %)_IMPUTEDMEAN,Population in the largest city (% of urban population)_IMPUTEDMEAN,"Population, female_IMPUTEDMEAN","Population, male_IMPUTEDMEAN","Population, total_IMPUTEDMEAN",Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population)_IMPUTEDMEAN,Poverty headcount ratio at $3.20 a day (2011 PPP) (% of population)_IMPUTEDMEAN,"Prevalence of HIV, total (% of population ages 15-49)_IMPUTEDMEAN",Prevalence of undernourishment (% of population)_IMPUTEDMEAN,Rural population (% of total population)_IMPUTEDMEAN,"Services, value added (% of GDP)_IMPUTEDMEAN",Surface area (sq. km)_IMPUTEDMEAN,Tax revenue (% of GDP)_IMPUTEDMEAN,Urban population (% of total population)_IMPUTEDMEAN,Urban population growth (annual %)_IMPUTEDMEAN
Austria,100.0,100.0,7.34,49.6725857,28.37279261,21.29979309,1.20180048,0.461088216,10.0,98.4,9.5,0.94266,14.248629999999999,11.400839999999999,87.13201416666665,30.62837,96.35990875000002,28.43347,79.66258,3.930000067,24.92200089,71.14800262,1.53,417000000000.0,2.55088076,30.5,10.95385,22.9,38.4,7.9,13.2,17.6,25.27695588,81.64146341,97.90995,99.76982333333332,82.47392737,0.7561790420000001,123.11929579999999,14.23091937,66.81250731,18.95657332,106.6074453,0.6946211040000001,36.75422013,4478340.0,4319226.0,8797566.0,0.7,0.7,0.24545454545454548,2.5,41.906000000000006,62.71888904,83879.00391,25.38010561,58.093999999999994,1.0204786259999998
Belgium,100.0,100.0,4.651,55.3290794,28.8664766,26.4626028,0.662105837,0.6352477120000001,10.5,97.91428571428573,9.6,0.64815,34.68994,14.917,86.50417,36.38061,95.87033000000001,35.12408,69.15045,1.164000034,20.75699997,78.08000183,1.68,495000000000.0,1.7343896559999998,27.7,12.33788,22.7,36.5,8.6,14.0,18.1,19.61448126,81.43902439,97.90995,99.76982333333332,169.6233788,0.9103707329999999,104.7403936,17.03647926,64.37944165,18.58407909,375.66571989999994,0.38522801799999995,18.25067783,5766141.0,5609017.0,11375158.0,0.0,0.2,0.24545454545454548,2.5,2.039,68.94414407,30530.0,23.66287205,97.961,0.428116624
Denmark,100.0,100.0,4.123,56.61999565,30.79070144,25.82929421,1.4268229319999999,0.502371529,10.6,94.4,8.2,0.77864,32.35884,12.725710000000001,93.80911,37.11665,96.35990875000002,37.11665,79.27773,2.210000038,18.80400085,78.98699951,1.79,330000000000.0,2.2623690080000003,28.2,11.81922076923077,21.8,37.7,9.4,13.9,17.2,20.10994165,81.00487805,97.90995,99.76982333333332,59.37964656,1.1460161690000001,124.43449140000001,16.49169248,63.84881462,19.659492899999996,137.2941176,0.643350904,25.7744497,2897965.0,2867015.0,5764980.0,0.2,0.2,0.1,2.5,12.243,65.37197029,42920.0,33.32344521,87.757,0.774461185
France,100.0,100.0,4.727,60.71698779,31.6114191,29.10556868,1.551765681,1.0147310520000001,11.4,97.4,9.0,0.8363799999999999,18.00167,9.4957,84.2148,30.22735,97.56846999999999,30.13079,70.07549,2.6289999490000002,20.48600006,76.88500214,1.92,2590000000000.0,2.260202722,32.7,9.60255,21.7,40.9,7.9,12.8,16.7,17.20597648,82.52439024,97.90995,99.76982333333332,44.61367632,2.3496785140000003,106.4394347,18.10982669,62.22117654,19.66899677,122.1154053,0.008040387,20.22821667,34481316.0,32383828.0,66865144.0,0.0,0.2,0.3,2.5,19.82,70.30286315,549086.9922,23.80610031,80.18,0.336590254
Germany,100.0,100.0,8.095,53.42641775,32.78950797,20.63690978,0.777215669,0.41480229399999996,9.5,98.7,11.3,1.25296,25.14988,11.19859,96.33225,35.58818,100.0,25.741889999999998,83.4613,1.27699995,27.40399933,71.31900024,1.57,3690000000000.0,2.15710947,31.7,10.93897,22.6,39.7,7.8,12.9,17.0,27.97460746,80.9902439,97.90995,99.76982333333332,70.70004162,1.234141102,132.758759,13.45068836,65.17782359,21.37148805,236.5954946,0.37372456,5.542035525,41919970.0,40737032.0,82657002.0,0.0,0.0,0.1,2.5,22.739,61.40348575,357580.0,11.35655745,77.26100000000001,0.42162539200000004
Iceland,100.0,100.0,6.269,52.47404737,21.995133600000003,30.47891376,4.592044665,0.0,11.9,97.9,6.5,0.9379425000000001,24.909274999999997,11.847423333333332,87.13201416666665,35.43828833333333,96.35990875000002,31.40902615384615,68.62465583333334,3.7569999689999998,17.4829998,78.76000214,1.74,24489493459.0,4.603781379,32.09230769230769,16.83943,22.63076923076923,39.892307692307696,7.646153846153846,12.784615384615384,17.061538461538465,19.61248039,82.20487805,97.90995,99.76982333333332,48.39626438,1.1659383663846155,122.8081928,19.98965289,65.5848059,14.425541199999998,3.4254364089999996,2.345582676,39.19808,171121.0,172279.0,343400.0,0.38461538461538464,0.6076923076923078,0.1,2.5,6.227,63.77134687,103000.0,24.15649925,93.773,2.385884023
Ireland,100.0,100.0,7.515,54.10677358,20.81466458,33.292109,1.172684273,0.385940447,12.9,99.7,6.3,0.9878399999999999,31.161920000000002,11.37665,86.1611,42.9488,96.35990875000002,36.656420000000004,70.77677,5.058000088,18.82600021,76.11699677,1.81,335000000000.0,8.145296135,31.8,13.452820000000001,22.1,40.2,8.0,12.9,16.9,35.75441921,81.95609756,97.90995,99.76982333333332,67.60424357,0.310631929,103.0630014,21.60327639,64.89006852,13.50665509,69.78353898,1.0886755609999998,39.27217379,2426140.0,2381248.0,4807388.0,0.2,0.5,0.2,2.5,37.053000000000004,56.38065496,70280.0,18.38550333,62.946999999999996,1.422846879
Italy,100.0,100.0,5.24,56.18840008,35.14190361,21.04649647,1.9151299240000002,1.348604249,7.6,97.91428571428573,10.7,0.9379425000000001,24.909274999999997,11.847423333333332,78.45826,14.9665,95.26946,14.35266,49.15258,3.78399992,26.00200081,70.21399689,1.34,1950000000000.0,1.68418261,35.4,7.80857,23.5,41.3,5.9,12.1,17.2,21.50627409,83.24390244,99.15576,99.93,49.34530133,1.3665287640000001,138.2337679,13.47507053,64.02524052,22.49968895,205.8091691,-0.149861117,9.837502972000001,31121471.0,29415238.0,60536709.0,2.0,2.5,0.3,2.5,29.855999999999998,66.22002725,301340.0,23.17750885,70.14399999999999,0.26299854
Luxembourg,100.0,100.0,4.727,43.20851274,20.2019159,23.00659685,0.264836618,0.6862687909999999,10.4,97.91428571428573,7.1,0.02,0.15,0.22,100.0,69.07166,96.35990875000002,34.27727,68.62465583333334,1.3890000580000001,10.76299953,87.84799957,1.41,62316359824.0,1.54566061,33.8,9.42587,23.1,41.0,7.2,12.1,16.7,10.930895300000001,82.68536585,97.90995,99.76982333333332,61.93076763,0.5764593020000001,134.1420148,16.06511125,69.82818334,14.10670541,245.4057613,2.430976418,23.149315240076927,295911.0,300425.0,596336.0,0.2,0.5,0.3,2.5,9.273,79.50063886,2590.0,25.98080987,90.727,2.7257178630000003
Netherlands,100.0,100.0,3.7880000000000003,54.19074121,28.9757298,25.21501141,1.855594964,0.449997141,9.9,97.91428571428573,8.8,0.62743,31.09321,11.72917,90.36832,33.29138,98.51498000000001,33.03968,71.10495999999999,2.2679998869999998,16.52400017,81.20700073,1.66,832000000000.0,2.91090257,28.2,12.80686,22.4,37.3,8.9,13.9,17.5,17.70313732,81.56097561,97.90995,99.76982333333332,147.4749139,1.158526989,120.62500109999999,16.35312998,64.85473799,18.79213202,508.4979518999999,0.591203366,7.197998804,8607750.0,8523546.0,17131296.0,0.0,0.2,0.2,2.5,8.923,70.06662639,41540.0,23.10030807,91.07700000000001,1.077686106
Portugal,100.0,100.0,8.38,54.38002339,33.2807857,21.09923768,1.97708878,0.989992885,8.4,98.9,10.6,0.56589,19.24945,14.22251,55.180719999999994,19.78422,91.73931,19.26189,37.62352,6.400000095,24.73999977,68.85900116,1.36,219000000000.0,2.7950242480000003,35.5,10.152000000000001,22.3,42.7,6.7,12.0,16.3,19.45486342,81.12439024,96.13759,99.66391999999999,64.1535734,1.669976921,114.34198500000001,13.6670779,64.77522001,21.55770209,112.44182109999998,-0.24388941,43.73685119,5429333.0,4870967.0,10300300.0,0.5,1.2,0.5,2.5,35.348,65.24105223,92225.5957,22.61456872,64.652,0.635424721
Spain,100.0,100.0,7.725,51.16971897,28.94272415,22.22699482,2.686657767,0.854974848,8.4,97.91428571428573,9.0,0.66018,21.936339999999998,12.92428,77.72236,31.16157,91.91672,31.106409999999997,50.416990000000006,4.353000164,20.05699921,75.58999634,1.34,1310000000000.0,2.979182401,36.2,9.973239999999999,23.5,42.1,5.8,11.7,17.0,21.87446145,83.32926829,98.4365,99.71555,51.09219836,1.22599306,112.5612499,14.70333798,66.15081329,19.14584873,93.26780444,0.23564850699999998,17.16317944,23723820.0,22869416.0,46593236.0,1.0,1.5,0.4,2.5,19.92,66.10592814,505935.0,13.80711452,80.08,0.535799085
Switzerland,100.0,100.0,2.763,49.9325805,27.63387086,22.29870964,0.6641368910000001,0.426887575,10.3,97.91428571428573,7.9,2.93416,36.949290000000005,19.96821,97.08525999999999,35.43828833333333,96.35990875000002,38.98196,85.68177,3.108999968,20.51499939,76.3769989,1.54,679000000000.0,1.616692155,32.3,15.526729999999999,22.6,40.2,7.8,12.5,16.8,24.73693753,83.60243902,97.90995,99.76982333333332,83.85625843,0.681602395,131.1359393,14.87249468,66.69663819,18.43086713,213.88399109999997,0.933155889,21.75171258,4263869.0,4187971.0,8451840.0,0.0,0.0,0.24545454545454548,2.5,26.239,71.47983236,41290.400389999995,10.4934186,73.76100000000001,0.962986439
United Kingdom,100.0,100.0,13.37,56.06989604,28.54695519,27.52294085,0.593034154,0.43653921700000003,11.4,97.91428571428573,9.2,1.00102,33.922129999999996,11.99042,99.74781999999999,44.09417,100.0,44.09417,77.11173000000001,1.1590000390000001,18.23699951,80.60399628,1.79,2640000000000.0,1.822927774,33.2,13.8311,23.0,40.6,7.5,12.2,16.8,17.92573193,81.15609756,97.90995,99.76982333333332,41.11736002,1.771093843,118.62095579999999,17.63500937,64.07385559,18.29113504,273.049473,0.703806068,16.23399949,33464674.0,32594185.0,66058859.0,0.2,0.2,0.2,2.5,16.857,70.5643314,243610.0,25.71953266,83.14299999999999,1.013390544
