country,"Access to electricity, rural (% of rural population)","Access to electricity, urban (% of urban population)","Adolescent fertility rate (births per 1,000 women ages 15-19)",Age dependency ratio (% of working-age population),"Age dependency ratio, old (% of working-age population)","Age dependency ratio, young (% of working-age population)","Agriculture, forestry, and fishing, value added (% of GDP)",Armed forces personnel (% of total labor force),"Birth rate, crude (per 1,000 people)",Births attended by skilled health staff (% of total),"Death rate, crude (per 1,000 people)","Educational attainment, Doctoral or equivalent, population 25+, total (%) (cumulative)","Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative)","Educational attainment, at least Master's or equivalent, population 25+, total (%) (cumulative)","Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)","Educational attainment, at least completed post-secondary, population 25+, total (%) (cumulative)","Educational attainment, at least completed primary, population 25+ years, total (%) (cumulative)","Educational attainment, at least completed short-cycle tertiary, population 25+, total (%) (cumulative)","Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)",Employment in agriculture (% of total employment) (modeled ILO estimate),Employment in industry (% of total employment) (modeled ILO estimate),Employment in services (% of total employment) (modeled ILO estimate),"Fertility rate, total (births per woman)",GDP (current US$),GDP growth (annual %),GINI index (World Bank estimate),"Government expenditure on education, total (% of government expenditure)",Income share held by fourth 20%,Income share held by highest 20%,Income share held by lowest 20%,Income share held by second 20%,Income share held by third 20%,"Industry (including construction), value added (% of GDP)","Life expectancy at birth, total (years)","Literacy rate, adult total (% of people ages 15 and above)","Literacy rate, youth total (% of people ages 15-24)",Merchandise trade (% of GDP),Military expenditure (% of GDP),Mobile cellular subscriptions (per 100 people),Number of people pushed below the $3.10 ($ 2011 PPP) poverty line by out-of-pocket health care expenditure,Population ages 0-14 (% of total population),Population ages 15-64 (% of total population),Population ages 65 and above (% of total population),Population density (people per sq. km of land area),Population growth (annual %),Population in the largest city (% of urban population),Population living in slums (% of urban population),"Population, female","Population, male","Population, total",Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),Poverty headcount ratio at $3.20 a day (2011 PPP) (% of population),Poverty headcount ratio at national poverty lines (% of population),"Prevalence of HIV, total (% of population ages 15-49)",Prevalence of undernourishment (% of population),"Prevalence of underweight, weight for age (% of children under 5)",Rural population (% of total population),"Services, value added (% of GDP)",Surface area (sq. km),Tax revenue (% of GDP),Urban population (% of total population),Urban population growth (annual %)
Austria,100.0,100.0,7.34,49.6725857002038,28.3727926117504,21.2997930884534,1.20180047984428,0.461088216495409,10.0,98.4,9.5,0.94266,14.24863,11.40084,,30.62837,,28.43347,79.66258,3.9300000667572,24.9220008850098,71.1480026245117,1.53,416835975862.194,2.55088075977935,30.5,10.95385,22.9,38.4,7.9,13.2,17.6,25.2769558796253,81.6414634146342,,,82.4739273736906,0.756179041980548,123.1192958,,14.2309193719975,66.812507305921,18.9565733220815,106.607445296677,0.694621103604983,36.7542201329014,,4478340.0,4319226.0,8797566.0,0.7,0.7,,,2.5,,41.906,62.7188890421138,83879.00390625,25.3801056109426,58.094,1.02047862584527
Belgium,100.0,100.0,4.651,55.3290794008081,28.8664765965663,26.4626028042418,0.662105837201386,0.635247711867519,10.5,,9.6,0.64815,34.68994,14.917,86.50417,36.38061,95.87033,35.12408,69.15045,1.16400003433228,20.7569999694824,78.0800018310547,1.68,494901708704.269,1.73438965580127,27.7,12.33788,22.7,36.5,8.6,14.0,18.1,19.6144812597271,81.4390243902439,,,169.623378791288,0.910370732936129,104.7403936,,17.0364792638156,64.3794416479243,18.5840790882601,375.66571994716,0.385228018372369,18.250677833757,,5766141.0,5609017.0,11375158.0,0.0,0.2,,,2.5,,2.039,68.9441440702955,30530.0,23.6628720474436,97.961,0.428116624357897
Switzerland,100.0,100.0,2.763,49.9325804984945,27.6338708621625,22.2987096363321,0.664136890926238,0.426887574888277,10.3,,7.9,2.93416,36.94929,19.96821,97.08526,,,38.98196,85.68177,3.10899996757507,20.5149993896484,76.3769989013672,1.54,678965423322.021,1.61669215479019,32.3,15.52673,22.6,40.2,7.8,12.5,16.8,24.7369375262134,83.6024390243903,,,83.8562584253963,0.681602395155031,131.1359393,,14.8724946793942,66.6966381907622,18.4308671298436,213.883991070172,0.933155888738653,21.7517125798143,,4263869.0,4187971.0,8451840.0,0.0,0.0,,,2.5,,26.239,71.4798323581723,41290.400390625,10.4934185956575,73.761,0.962986439023895
Germany,100.0,100.0,8.095,53.4264177539329,32.7895079698411,20.6369097840917,0.777215668804579,0.414802293589366,9.5,98.7,11.3,1.25296,25.14988,11.19859,96.33225,35.58818,100.0,25.74189,83.4613,1.27699995040894,27.4039993286133,71.3190002441406,1.57,3693204332229.78,2.15710947029994,31.7,10.93897,22.6,39.7,7.8,12.9,17.0,27.9746074560467,80.990243902439,,,70.7000416200514,1.23414110223535,132.758759,,13.4506883625113,65.177823589612,21.3714880478767,236.595494618731,0.373724559895838,5.54203552537168,,41919970.0,40737032.0,82657002.0,0.0,0.0,,0.1,2.5,,22.739,61.4034857536905,357580.0,11.35655745208,77.261,0.421625391544917
Denmark,100.0,100.0,4.123,56.6199956477692,30.7907014399581,25.8292942078111,1.42682293200782,0.502371528529009,10.6,94.4,8.2,0.77864,32.35884,12.72571,93.80911,37.11665,,37.11665,79.27773,2.21000003814697,18.8040008544922,78.9869995117188,1.79,329865553842.833,2.26236900792341,28.2,,21.8,37.7,9.4,13.9,17.2,20.1099416537262,81.0048780487805,,,59.3796465614973,1.14601616938322,124.4344914,,16.4916924766681,63.8488146240044,19.6594928993276,137.294117647059,0.643350903737356,25.7744496976087,,2897965.0,2867015.0,5764980.0,0.2,0.2,,0.1,2.5,,12.243,65.3719702879127,42920.0,33.3234452082608,87.757,0.7744611852936
Spain,100.0,100.0,7.725,51.1697189700603,28.9427241525926,22.2269948174677,2.68665776687167,0.854974847817749,8.4,,9.0,0.66018,21.93634,12.92428,77.72236,31.16157,91.91672,31.10641,50.41699,4.35300016403198,20.056999206543,75.5899963378906,1.34,1314314164402.2,2.97918240061863,36.2,9.97324,23.5,42.1,5.8,11.7,17.0,21.874461446654,83.3292682926829,98.4365,99.71555,51.0921983638082,1.22599306021766,112.5612499,,14.7033379846795,66.150813288141,19.1458487271796,93.2678044400906,0.235648507162641,17.1631794424202,,23723820.0,22869416.0,46593236.0,1.0,1.5,,0.4,2.5,,19.92,66.1059281380137,505935.0,13.807114520127,80.08,0.535799084743226
France,100.0,100.0,4.727,60.716987788684,31.6114191042705,29.1055686844134,1.55176568137781,1.01473105231048,11.4,97.4,9.0,0.83638,18.00167,9.4957,84.2148,30.22735,97.56847,30.13079,70.07549,2.62899994850159,20.4860000610352,76.8850021362305,1.92,2586285406561.51,2.2602027222695,32.7,9.60255,21.7,40.9,7.9,12.8,16.7,17.2059764808199,82.5243902439024,,,44.6136763202031,2.34967851446849,106.4394347,,18.1098266879217,62.2211765433074,19.6689967687709,122.115405252835,0.00804038667515457,20.2282166731652,,34481316.0,32383828.0,66865144.0,0.0,0.2,,0.3,2.5,,19.82,70.3028631458047,549086.9921875,23.8061003118433,80.18,0.336590253543727
Faroe Islands,100.0,100.0,,,,,19.2805217019457,,13.1,,8.9,,,,,,,,,,,,2.5,2689157270.82312,,,,,,,,,16.6442163780201,82.4,,,80.7303526709388,,116.4738987,,,,,34.6210586582365,0.327447859520313,,,,,48331.0,,,,,,,58.086,52.6411161000641,1396.00006103516,,41.914,0.653758952704235
United Kingdom,100.0,100.0,13.37,56.0698960446915,28.5469551928961,27.5229408517953,0.593034153985917,0.436539217370721,11.4,,9.2,1.00102,33.92213,11.99042,99.74782,44.09417,100.0,44.09417,77.11173,1.15900003910065,18.2369995117188,80.6039962768555,1.79,2637866340434.13,1.82292777386984,33.2,13.8311,23.0,40.6,7.5,12.2,16.8,17.9257319251435,81.1560975609756,,,41.1173600183813,1.77109384285715,118.6209558,,17.63500937043,64.0738555899797,18.2911350395904,273.049472988054,0.703806067937902,16.2339994869574,,33464674.0,32594185.0,66058859.0,0.2,0.2,,0.2,2.5,,16.857,70.5643313985116,243610.0,25.7195326568857,83.143,1.01339054430114
Gibraltar,100.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,121.6644924,,,,,3372.8,-0.0266805011587876,,,,,33728.0,,,,,,,0.0,,10.0,,100.0,-0.0266805011587876
Greenland,100.0,100.0,,,,,19.5526196293814,,15.2,,8.9,0.10101,10.56648,3.02741,100.0,13.70051,100.0,13.17023,39.62571,,,,2.09,2713534471.23312,0.987493073695873,,,,,,,,15.7415616148074,71.2463414634146,,,48.2396672633809,,110.1821852,,,,,0.136852235351444,-0.0267006062623867,,,,,56171.0,,,,,,,13.426,61.414794473155,410450.0,,86.574,0.259440906549959
Isle of Man,100.0,100.0,,,,,0.61284178187404,,,,,,,,,,,,,,,,,6592627599.24386,7.40000000000001,,,,,,,,8.21171530977982,,,,,,,,,,,146.663157894737,0.372712179069005,,,,,83598.0,,,,,,,47.542,87.1419764464926,570.0,,52.458,0.592346984653139
Ireland,100.0,100.0,7.515,54.1067735806537,20.8146645778818,33.2921090027719,1.17268427285764,0.38594044681612,12.9,99.7,6.3,0.98784,31.16192,11.37665,86.1611,42.9488,,36.65642,70.77677,5.05800008773804,18.826000213623,76.1169967651367,1.81,334834010485.56,8.14529613547501,31.8,13.45282,22.1,40.2,8.0,12.9,16.9,35.7544192079203,81.9560975609756,,,67.6042435688481,0.310631928985478,103.0630014,,21.6032763908872,64.890068519016,13.5066550900967,69.7835389751778,1.08867556062,39.2721737863202,,2426140.0,2381248.0,4807388.0,0.2,0.5,,0.2,2.5,,37.053,56.3806549552032,70280.0,18.3855033284405,62.947,1.42284687903925
Iceland,100.0,100.0,6.269,52.4740473674395,21.995133603886,30.4789137635535,4.59204466511424,0.0,11.9,97.9,6.5,,,,,,,,,3.75699996948242,17.4829998016357,78.7600021362305,1.74,24489493459.0074,4.60378137949624,,16.83943,,,,,,19.6124803920598,82.2048780487805,,,48.3962643810453,,122.8081928,,19.9896528934517,65.5848059020374,14.4255412045109,3.42543640897756,2.34558267643862,,,171121.0,172279.0,343400.0,,,,0.1,2.5,,6.227,63.7713468704969,103000.0,24.1564992526124,93.773,2.38588402314435
Italy,100.0,100.0,5.24,56.1884000768445,35.1419036112959,21.0464964655487,1.91512992352876,1.34860424901282,7.6,,10.7,,,,78.45826,14.9665,95.26946,14.35266,49.15258,3.78399991989136,26.0020008087158,70.213996887207,1.34,1946570340341.13,1.68418260951518,35.4,7.80857,23.5,41.3,5.9,12.1,17.2,21.5062740917394,83.2439024390244,99.15576,99.93,49.345301327856,1.36652876351231,138.2337679,,13.4750705252017,64.0252405238968,22.4996889509015,205.809169103148,-0.14986111697397,9.8375029723027,,31121471.0,29415238.0,60536709.0,2.0,2.5,,0.3,2.5,,29.856,66.2200272493366,301340.0,23.1775088479297,70.144,0.262998539787345
Liechtenstein,100.0,100.0,,,,,,,8.9,,6.6,,,,,,,,,,,,1.61,6214633651.30911,,,,,,,,,41.8491484184915,82.2585365853659,,,,,122.7566138,,,,,236.25,0.37636875513052,,,,,37800.0,,,,,,,85.685,,160.0,,14.315,0.463092427119094
Luxembourg,100.0,100.0,4.727,43.2085127434194,20.2019158955935,23.0065968478258,0.26483661832212,0.686268790897331,10.4,,7.1,,,,100.0,69.07166,,34.27727,,1.38900005817413,10.7629995346069,87.8479995727539,1.41,62316359824.1281,1.54566060969455,33.8,9.42587,23.1,41.0,7.2,12.1,16.7,10.930895297428,82.6853658536585,,,61.9307676329599,0.576459301503367,134.1420148,,16.0651112500211,69.8281833386832,14.1067054112956,245.405761316872,2.43097641776115,,,295911.0,300425.0,596336.0,0.2,0.5,,0.3,2.5,,9.273,79.5006388589152,2590.0,25.9808098742234,90.727,2.72571786341686
St. Martin (French part),100.0,100.0,,,,,,,14.9,,4.3,,,,,,,,,,,,1.81,,,,,,,,,,,79.7219512195122,,,,,,,,,,672.058823529412,1.36318806303135,,,,,36560.0,,,,,,,,,54.4,,,
Monaco,100.0,100.0,,,,,,,7.8,,7.9,,,,,,,,,,,,,6400946585.53076,-3.5,,6.98063,,,,,,14.3485027277547,,,,,,85.89810377,,,,,19196.0,0.842253416153839,,,,,38392.0,,,,,,,0.0,81.7129273339832,2.0,,100.0,0.842253416153839
Netherlands,100.0,100.0,3.788,54.190741208935,28.9757298012134,25.2150114077216,1.85559496359799,0.449997140871824,9.9,,8.8,0.62743,31.09321,11.72917,90.36832,33.29138,98.51498,33.03968,71.10496,2.26799988746643,16.5240001678467,81.2070007324219,1.66,831809944960.879,2.91090256981492,28.2,12.80686,22.4,37.3,8.9,13.9,17.5,17.7031373197172,81.5609756097561,,,147.474913882845,1.15852698874429,120.6250011,,16.3531299843661,64.85473799459,18.7921320210439,508.497951914515,0.591203366164118,7.19799880405085,,8607750.0,8523546.0,17131296.0,0.0,0.2,,0.2,2.5,,8.923,70.066626385566,41540.0,23.1003080691354,91.077,1.07768610579971
Portugal,100.0,100.0,8.38,54.3800233871429,33.2807857024881,21.0992376846549,1.97708877966338,0.989992885378053,8.4,98.9,10.6,0.56589,19.24945,14.22251,55.18072,19.78422,91.73931,19.26189,37.62352,6.40000009536743,24.7399997711182,68.859001159668,1.36,219308126633.628,2.79502424788114,35.5,10.152,22.3,42.7,6.7,12.0,16.3,19.4548634162859,81.1243902439025,96.13759,99.66392,64.1535734036162,1.66997692061065,114.341985,,13.6670779014333,64.7752200096282,21.5577020889385,112.441821058412,-0.243889410358812,43.7368511941856,,5429333.0,4870967.0,10300300.0,0.5,1.2,,0.5,2.5,,35.348,65.2410522301679,92225.595703125,22.614568716432,64.652,0.635424721292054
Sint Maarten (Dutch part),100.0,100.0,,,,,0.088587806149036,,,,4.6,,,,,,,,,,,,,,0.432506259959027,,,,,,,,8.47316310578426,,,,,,,,,,,1193.35294117647,1.5023313732953,,,,,40574.0,,,,,,,0.0,69.2600312662845,34.0,,100.0,1.50233137329532
